구분,격리(확진)일자,확진자수(명)
포천시,2020-02-22,6
포천시,2020-04-02,4
포천시,2020-04-05,1
포천시,2020-04-13,1
포천시,2020-04-14,1
포천시,2020-04-15,1
포천시,2020-04-16,1
포천시,2020-04-17,2
포천시,2020-04-22,1
포천시,2020-06-07,1
포천시,2020-07-05,1
포천시,2020-07-12,1
포천시,2020-07-13,1
포천시,2020-07-22,12
포천시,2020-07-23,4
포천시,2020-08-16,1
포천시,2020-08-18,3
포천시,2020-08-19,6
포천시,2020-08-20,1
포천시,2020-08-21,2
포천시,2020-08-23,1
포천시,2020-08-24,2
포천시,2020-08-25,2
포천시,2020-08-28,1
포천시,2020-08-30,1
포천시,2020-09-01,1
포천시,2020-09-07,1
포천시,2020-09-11,4
포천시,2020-09-23,5
포천시,2020-09-28,1
포천시,2020-09-30,1
포천시,2020-10-02,1
포천시,2020-10-04,12
포천시,2020-10-05,24
포천시,2020-10-13,2
포천시,2020-10-18,3
포천시,2020-10-23,1
포천시,2020-10-24,2
포천시,2020-10-25,1
포천시,2020-10-27,1
포천시,2020-10-28,8
포천시,2020-10-29,4
포천시,2020-10-30,1
포천시,2020-11-10,1
포천시,2020-11-11,3
포천시,2020-11-12,2
포천시,2020-11-13,2
포천시,2020-11-15,2
포천시,2020-11-16,1
포천시,2020-11-17,18
포천시,2020-11-19,3
포천시,2020-11-20,9
포천시,2020-11-23,3
포천시,2020-11-27,1
포천시,2020-11-29,1
포천시,2020-11-30,2
포천시,2020-12-01,1
포천시,2020-12-05,1
포천시,2020-12-06,2
포천시,2020-12-08,2
포천시,2020-12-09,4
포천시,2020-12-11,3
포천시,2020-12-12,30
포천시,2020-12-13,1
포천시,2020-12-14,2
포천시,2020-12-15,10
포천시,2020-12-16,1
포천시,2020-12-17,2
포천시,2020-12-18,9
포천시,2020-12-19,7
포천시,2020-12-20,5
포천시,2020-12-21,5
포천시,2020-12-22,10
포천시,2020-12-23,2
포천시,2020-12-24,2
포천시,2020-12-25,4
포천시,2020-12-26,2
포천시,2020-12-27,1
포천시,2020-12-29,2
포천시,2021-01-01,1
포천시,2021-01-02,1
포천시,2021-01-04,1
포천시,2021-01-05,1
포천시,2021-01-08,1
포천시,2021-01-23,1
포천시,2021-01-24,1
포천시,2021-01-28,3
포천시,2021-01-31,1
포천시,2021-02-02,1
포천시,2021-02-03,1
포천시,2021-02-08,2
포천시,2021-02-12,9
포천시,2021-02-14,1
포천시,2021-02-15,1
포천시,2021-02-17,2
포천시,2021-02-18,3
포천시,2021-02-19,2
포천시,2021-02-21,2
포천시,2021-02-22,2
포천시,2021-02-26,1
포천시,2021-02-27,3
포천시,2021-03-02,2
포천시,2021-03-03,7
포천시,2021-03-04,6
포천시,2021-03-05,5
포천시,2021-03-06,4
포천시,2021-03-07,1
포천시,2021-03-09,5
포천시,2021-03-10,5
포천시,2021-03-11,4
포천시,2021-03-12,3
포천시,2021-03-13,3
포천시,2021-03-14,2
포천시,2021-03-15,2
포천시,2021-03-17,7
포천시,2021-03-18,1
포천시,2021-03-18,1
포천시,2021-03-19,2
포천시,2021-03-20,8
포천시,2021-03-22,3
포천시,2021-03-23,2
포천시,2021-03-24,3
포천시,2021-03-25,4
포천시,2021-03-26,1
포천시,2021-03-27,3
포천시,2021-03-28,5
포천시,2021-03-29,1
포천시,2021-03-30,5
포천시,2021-03-31,7
포천시,2021-04-01,4
포천시,2021-04-02,1
포천시,2021-04-03,5
포천시,2021-04-04,4
포천시,2021-04-05,5
포천시,2021-04-06,6
포천시,2021-04-07,7
포천시,2021-04-08,9
포천시,2021-04-09,2
포천시,2021-04-10,2
포천시,2021-04-11,1
포천시,2021-04-12,3
포천시,2021-04-13,2
포천시,2021-04-14,1
포천시,2021-04-15,1
포천시,2021-04-16,1
포천시,2021-04-19,1
포천시,2021-04-21,1
포천시,2021-04-27,4
포천시,2021-04-30,1
포천시,2021-05-07,1
포천시,2021-05-09,2
포천시,2021-05-11,4
포천시,2021-05-13,3
포천시,2021-05-14,3
포천시,2021-05-15,2
포천시,2021-05-17,1
포천시,2021-05-18,3
포천시,2021-05-19,1
포천시,2021-05-21,2
포천시,2021-05-22,1
포천시,2021-05-23,1
포천시,2021-05-24,2
포천시,2021-05-25,1
포천시,2021-05-28,1
포천시,2021-05-29,1
포천시,2021-06-02,1
포천시,2021-06-04,4
포천시,2021-06-07,2
포천시,2021-06-13,5
포천시,2021-06-14,1
포천시,2021-06-15,1
포천시,2021-06-16,1
포천시,2021-06-17,1
포천시,2021-06-23,1
포천시,2021-06-27,3
포천시,2021-06-28,4
포천시,2021-06-29,3
포천시,2021-06-30,2
포천시,2021-07-01,2
포천시,2021-07-03,1
포천시,2021-07-05,2
포천시,2021-07-06,3
포천시,2021-07-09,2
포천시,2021-07-11,2
포천시,2021-07-14,1
포천시,2021-07-15,1
포천시,2021-07-16,4
포천시,2021-07-18,2
포천시,2021-07-20,2
포천시,2021-07-21,1
포천시,2021-07-22,1
포천시,2021-07-23,1
포천시,2021-07-24,1
포천시,2021-07-25,2
포천시,2021-07-26,1
포천시,2021-07-27,13
포천시,2021-07-28,10
포천시,2021-07-29,2
포천시,2021-07-31,2
포천시,2021-08-01,7
포천시,2021-08-03,7
포천시,2021-08-04,3
포천시,2021-08-05,12
포천시,2021-08-06,8
포천시,2021-08-07,3
포천시,2021-08-08,3
포천시,2021-08-09,6
포천시,2021-08-10,10
포천시,2021-08-11,5
포천시,2021-08-12,5
포천시,2021-08-13,6
포천시,2021-08-14,4
포천시,2021-08-15,2
포천시,2021-08-16,1
포천시,2021-08-17,4
포천시,2021-08-18,12
포천시,2021-08-19,3
포천시,2021-08-20,8
포천시,2021-08-21,2
포천시,2021-08-22,6
포천시,2021-08-23,3
포천시,2021-08-24,5
